region,n_cities,geom_wkt
Central,4,"POLYGON((8.2398 50.0782, 8.6512 49.8728, 9.4797 51.3127, 8.2398 50.0782))"
East,11,"POLYGON((11.0299 50.9848, 11.5892 50.927, 12.0832 50.8804, 12.9214 50.8278, 13.7373 51.0504, 14.3329 51.7563, 13.405 52.52, 11.6276 52.1205, 11.0299 50.9848))"
North,13,"POLYGON((8.0472 52.2799, 9.9158 51.5413, 12.0991 54.0924, 9.4339 54.7833, 8.2146 53.1435, 8.0472 52.2799))"
South,18,"POLYGON((7.8421 47.999, 9.1758 47.6603, 11.582 48.1351, 12.1016 49.0134, 11.012 49.5897, 9.9534 49.7913, 8.466 49.4875, 7.8421 47.999))"
West,29,"POLYGON((6.0839 50.7753, 6.6371 49.7497, 6.9969 49.2402, 8.4353 49.4811, 8.5325 52.0302, 7.6261 51.9607, 6.5853 51.3388, 6.4428 51.1805, 6.0839 50.7753))"
